(leave this row),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIT FIELD,SIZE,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isize,2,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL_A,10,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,ASL,.,.,.,SHF,.,.,SHF,A,.,.,.
ASL_abs,14,x,.,3,.,.,.,.,.,RMW,ABS,.,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ASL_abs_X,30,x,.,3,.,.,.,.,.,RMW,ABS_X,.,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ASL_zp,6,x,x,2,.,.,.,.,.,W,ZP,.,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ASL_zp_X,22,x,x,2,.,.,.,.,.,W,ZP_X,x,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
BCC_rel,144,x,x,2,BRX,x,C,0,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BCS_rel,176,x,x,2,BRX,x,C,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BEQ_rel,240,x,x,2,BRX,x,Z,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BIT_abs,44,x,x,3,.,.,.,.,.,R,ABS,.,1,.,.,.,.,.,AND,.,.,.,.,.,.,.,.,BIT,.,.,BIT
BIT_zp,36,x,x,2,.,.,.,.,.,R,ZP,.,1,.,.,.,.,.,AND,.,.,.,.,.,.,.,.,BIT,.,.,BIT
BMI_rel,48,x,x,2,BRX,x,N,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BNE_rel,208,x,x,2,BRX,x,Z,0,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BPL_rel,16,x,x,2,BRX,x,N,0,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BRK_imp,0,x,x,2,BRK,.,.,.,N3,W,PUSH3,.,3,BRK,.,.,.,.,.,.,.,.,.,.,.,.,.,.,BRK,.,.
BVC_rel,80,x,x,2,BRX,x,V,0,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BVS_rel,112,x,x,2,BRX,x,V,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
CLC_imp,24,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CLR,.,.,.,.
CLD_imp,216,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CLR,.
CLI_imp,88,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CLR,.,.
CLV_imp,184,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CLR
CMP_abs,205,x,x,3,.,.,.,.,.,R,ABS,.,1,.,A,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CMP_abs_X,221,x,x,3,.,.,.,.,.,R,ABS_X,.,1,.,A,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
